game,sub_genre,n_negative,bugs_crashes,tedium_grind,ui_controls
Going Medieval,colony,231,0.2468,0.1342,0.1255
Dwarf Fortress,colony,105,0.219,0.1048,0.3524
Songs of Syx,colony,124,0.1935,0.1613,0.2097
Factorio,colony,37,0.1622,0.0,0.0541
Banished,colony,111,0.1441,0.0721,0.1081
RimWorld,colony,52,0.1346,0.1154,0.0962
Oxygen Not Included,colony,76,0.0921,0.1316,0.0789
Shadows of Doubt,emergent,389,0.4653,0.0771,0.1131
Kenshi,emergent,88,0.2727,0.1364,0.2045
Caves of Qud,emergent,64,0.125,0.2188,0.2969
Wildermyth,emergent,100,0.06,0.2,0.11
Victoria 3,grand,472,0.3665,0.089,0.1547
Crusader Kings III,grand,159,0.195,0.0881,0.0818
Europa Universalis IV,grand,146,0.0822,0.0274,0.1096
My Time at Portia,life,235,0.3574,0.2681,0.1447
The Sims™ 4,life,223,0.1883,0.009,0.0135
Graveyard Keeper,life,290,0.1586,0.4517,0.0621
Spiritfarer®: Farewell Edition,life,86,0.0349,0.4651,0.0698
Stardew Valley,life,16,0.0,0.1875,0.0
